location,date,total_cases,total_deaths,Death_Percentage
India,2020-03-28,909,19,2.090209021
India,2020-08-05,1908254,39795,2.085414206
India,2020-03-23,434,9,2.073732719
India,2020-08-06,1964536,40699,2.071685121
India,2020-08-07,2027074,41585,2.051479127
India,2020-08-08,2088611,42518,2.035706984
India,2020-08-09,2153010,43379,2.014807177
India,2020-08-10,2215074,44386,2.003815674
India,2020-03-26,649,13,2.003081664
India,2020-08-11,2268675,45257,1.994864844
India,2020-03-18,151,3,1.986754967
India,2020-08-12,2329638,46091,1.97846189
India,2020-08-13,2396637,47033,1.962458228
India,2020-08-14,2461190,48040,1.951901316
India,2020-03-22,360,7,1.944444444
India,2020-08-15,2526192,49036,1.941103447
India,2020-08-16,2589682,49980,1.929966691
India,2020-08-17,2647663,50921,1.923243253
India,2020-08-18,2702742,51797,1.916461135
India,2020-08-19,2767273,52889,1.911231743
India,2020-08-20,2836925,53866,1.898746001
India,2020-08-21,2905823,54849,1.887554748
India,2020-08-22,2975701,55794,1.874986768
India,2020-03-15,107,2,1.869158879
India,2020-08-23,3044940,56706,1.862302705
India,2020-08-24,3106348,57542,1.852400311
India,2020-08-25,3167323,58390,1.843512645
India,2020-08-26,3234474,59449,1.837980457
India,2020-08-27,3310234,60472,1.826819494
India,2020-08-28,3387500,61529,1.816354244
India,2020-08-29,3463972,62550,1.805730531
India,2020-03-20,223,4,1.793721973
India,2020-08-30,3542733,63498,1.792345062
India,2020-08-31,3621245,64469,1.780299317
India,2020-09-01,3691166,65288,1.768763583
India,2020-09-02,3769523,66333,1.75971867
India,2020-03-16,114,2,1.754385965
India,2020-09-03,3853406,67376,1.748479138
India,2020-09-04,3936747,68472,1.73930405
India,2020-03-24,519,9,1.734104046
India,2020-09-05,4023179,69561,1.729005843
India,2020-09-06,4113811,70626,1.716802255
India,2020-09-07,4204613,71642,1.703890465
India,2020-09-08,4280422,72775,1.700182832
India,2020-09-09,4370128,73890,1.690797157
India,2020-09-10,4465863,75062,1.680794955
India,2020-09-11,4562414,76271,1.671724662
India,2020-09-12,4659984,77472,1.662494979
India,2020-09-13,4754356,78586,1.652926285
India,2020-03-25,606,10,1.650165017
India,2020-09-14,4846427,79722,1.644964424
India,2020-09-15,4930236,80776,1.638379988
India,2020-09-16,5020359,82066,1.634663975
India,2020-09-17,5118253,83198,1.625515581
India,2020-09-18,5214677,84372,1.617971736
India,2020-09-19,5308014,85619,1.613013832
India,2020-09-20,5400619,86752,1.606334385
India,2020-09-21,5487580,87882,1.601470958
India,2020-09-22,5562663,88935,1.598784611
India,2020-09-23,5646010,90020,1.594400293
India,2020-09-24,5732518,91149,1.590034257
India,2020-09-25,5818570,92290,1.58612855
India,2020-09-26,5903932,93379,1.581640845
